#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_010993605.1	PRJNA611764	SAMN12629506	JAAIYE000000000.1	representative genome	7757	7757	Petromyzon marinus		kPetMar1	latest	Chromosome	Major	Full	2020/02/24	kPetMar1.pri	Vertebrate Genomes Project	GCA_010993605.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/993/605/GCF_010993605.1_kPetMar1.pri			na
GCF_902713615.1	PRJNA688266	SAMEA994730	CACTIT000000000.1	representative genome	7830	7830	Scyliorhinus canicula			latest	Chromosome	Major	Full	2020/12/17	sScyCan1.1	SC	GCA_902713615.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/713/615/GCF_902713615.1_sScyCan1.1			na
GCF_018977255.1	PRJNA744271	SAMN12905446	WEZY00000000.1	representative genome	7868	7868	Callorhinchus milii		IMCB2004	latest	Scaffold	Major	Full	2021/06/21	IMCB_Cmil_1.0	Institute of Molecular and Cell Biology, A*star, Singapore	GCA_018977255.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/977/255/GCF_018977255.1_IMCB_Cmil_1.0			na
GCF_019279795.1	PRJNA754246	SAMN17890435	JAGYFI000000000.1	representative genome	7888	7888	Protopterus annectens		FY-2018-M	latest	Chromosome	Major	Full	2021/07/20	PAN1.0	Northwestern Polytechnical University	GCA_019279795.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/279/795/GCF_019279795.1_PAN1.0			na
GCF_000225785.1	PRJNA219830	SAMN00138723	AFYH00000000.1	representative genome	7897	7897	Latimeria chalumnae		SAIAB 97564	latest	Scaffold	Major	Full	2011/09/12	LatCha1	Broad Institute	GCA_000225785.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/785/GCF_000225785.1_LatCha1			na
GCF_010645085.1	PRJNA635364	SAMN12612932	VTUV00000000.1	representative genome	7906	7906	Acipenser ruthenus		Gen_M01	latest	Chromosome	Major	Full	2020/02/19	ASM1064508v1	University of Wuerzburg	GCA_010645085.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/645/085/GCF_010645085.1_ASM1064508v1			na
GCF_017654505.1	PRJNA726223	SAMN09842169	JADDYA000000000.1	representative genome	7913	7913	Polyodon spathula		WHYD16114869_AA	latest	Chromosome	Major	Full	2021/03/31	ASM1765450v1	Yangtze River Fisheries Research Institute, Chinese Academy of Fishery Sciences	GCA_017654505.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/654/505/GCF_017654505.1_ASM1765450v1			na
GCF_000242695.1	PRJNA221149	SAMN00706774	AHAT00000000.1	representative genome	7918	7918	Lepisosteus oculatus		Spotted Gar 1	latest	Chromosome	Major	Full	2012/01/13	LepOcu1	Broad Institute	GCA_000242695.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/695/GCF_000242695.1_LepOcu1			na
GCF_013347855.1	PRJNA643263	SAMN12623627	JABVMG000000000.1	representative genome	7936	7936	Anguilla anguilla		fAngAng1	latest	Chromosome	Major	Full	2020/06/18	fAngAng1.pri	Vertebrate Genomes Project	GCA_013347855.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/347/855/GCF_013347855.1_fAngAng1.pri			na
GCF_900700415.2	PRJNA587748	SAMEA5339254	CAADHV000000000.1	representative genome	7950	7950	Clupea harengus			latest	Chromosome	Major	Full	2019/04/16	Ch_v2.0.2	UPPSALA UNIVERISTY	GCA_900700415.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/700/415/GCF_900700415.2_Ch_v2.0.2			na
GCF_000002035.6	PRJNA13922	SAMN06930106		reference genome	7955	7955	Danio rerio			latest	Chromosome	Major	Full	2017/05/09	GRCz11	Genome Reference Consortium	GCA_000002035.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.6_GRCz11			na
GCF_003368295.1	PRJNA487739	SAMN09670328	QPKE00000000.1	representative genome	7957	7957	Carassius auratus	strain=Wakin		latest	Chromosome	Major	Full	2018/08/09	ASM336829v1	National Institutes of Health	GCA_003368295.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/368/295/GCF_003368295.1_ASM336829v1			na
GCF_018340385.1	PRJNA745992	SAMN17005855	JAEOAB000000000.1	representative genome	7962	7962	Cyprinus carpio		SPL01	latest	Chromosome	Major	Full	2021/05/12	ASM1834038v1	Chinese Academy of Fishery Sciences	GCA_018340385.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/340/385/GCF_018340385.1_ASM1834038v1			na
GCF_000372685.2	PRJNA237016	SAMN02981523	APWO00000000.2	representative genome	7994	7994	Astyanax mexicanus		Rio Sabinas/Rio Valles surface cross	latest	Chromosome	Major	Full	2017/09/25	Astyanax_mexicanus-2.0	Washington University School of Medince	GCA_000372685.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/372/685/GCF_000372685.2_Astyanax_mexicanus-2.0			na
GCF_001660625.2	PRJNA327588	SAMN03486842	LBML00000000.1	representative genome	7998	7998	Ictalurus punctatus	breed=USDA103		latest	Chromosome	Major	Full	2019/01/25	IpCoco_1.2	Auburn University	GCA_001660625.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/625/GCF_001660625.2_IpCoco_1.2			na
GCF_013358815.1	PRJNA645070	SAMN12623625	JABVME000000000.1	representative genome	8005	8005	Electrophorus electricus		fEleEle1	latest	Chromosome	Major	Full	2020/06/23	fEleEle1.pri	Vertebrate Genomes Project	GCA_013358815.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/358/815/GCF_013358815.1_fEleEle1.pri			na
GCF_011004845.1	PRJNA629749	SAMN12623624	JAAIYR000000000.1	representative genome	8010	8010	Esox lucius		fEsoLuc1	latest	Chromosome	Major	Full	2020/03/05	fEsoLuc1.pri	Vertebrate Genomes Project	GCA_011004845.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/004/845/GCF_011004845.1_fEsoLuc1.pri			na
GCF_021184085.1	PRJNA726253	SAMN18987060	JAGYUW000000000.1	representative genome	8017	8017	Oncorhynchus gorbuscha	ecotype=Even-year	QuinsamMale2020	latest	Chromosome	Major	Full	2021/12/15	OgorEven_v1.0	Fisheries and Oceans Canada	GCA_021184085.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/184/085/GCF_021184085.1_OgorEven_v1.0			na
GCF_012931545.1	PRJNA655759	SAMN12367893	JABAHX000000000.1	representative genome	8018	8018	Oncorhynchus keta		Oke142-1_Chum_Gynogen	latest	Chromosome	Major	Full	2020/04/29	Oket_V1	Fisheries and Oceans Canada	GCA_012931545.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/931/545/GCF_012931545.1_Oket_V1			na
GCF_002021735.2	PRJNA378663	SAMN05991263	MPKV00000000.2	representative genome	8019	8019	Oncorhynchus kisutch		150728-3	latest	Chromosome	Major	Full	2019/11/04	Okis_V2	University of Victoria	GCA_002021735.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/021/735/GCF_002021735.2_Okis_V2			na
GCF_013265735.2	PRJNA639144	SAMN14537335	JAAXML000000000.2	representative genome	8022	8022	Oncorhynchus mykiss		Arlee	latest	Chromosome	Major	Full	2020/09/23	USDA_OmykA_1.1	USDA/ARS	GCA_013265735.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/265/735/GCF_013265735.2_USDA_OmykA_1.1			na
GCF_006149115.2	PRJNA548514	SAMN11519041	SZNR00000000.1	representative genome	8023	8023	Oncorhynchus nerka		On170113-E2	latest	Chromosome	Minor	Full	2019/06/07	Oner_1.1	Fisheries and Oceans Canada	GCA_006149115.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/149/115/GCF_006149115.2_Oner_1.1			na
GCF_905237065.1	PRJNA788898	SAMEA8062739	CAJNNT000000000.2	representative genome	8030	8030	Salmo salar			latest	Chromosome	Major	Full	2021/04/21	Ssal_v3.1	NORWEGIAN UNIVERSITY OF LIFE SCIENCES	GCA_905237065.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/237/065/GCF_905237065.1_Ssal_v3.1			na
GCF_901001165.1	PRJNA550988	SAMEA994732	CAAJIE000000000.1	representative genome	8032	8032	Salmo trutta			latest	Chromosome	Major	Full	2019/06/02	fSalTru1.1	SC	GCA_901001165.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/001/165/GCF_901001165.1_fSalTru1.1			na
GCF_016432855.1	PRJNA690826	SAMN16985724	JAEAGN000000000.1	representative genome	8040	8040	Salvelinus namaycush		Seneca	latest	Chromosome	Major	Full	2021/01/06	SaNama_1.0	Universite Laval	GCA_016432855.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/432/855/GCF_016432855.1_SaNama_1.0			na
GCF_902167405.1	PRJNA557709	SAMEA5574046	CABHMC000000000.1	representative genome	8049	8049	Gadus morhua			latest	Chromosome	Major	Full	2019/07/16	gadMor3.0	SC	GCA_902167405.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/167/405/GCF_902167405.1_gadMor3.0			na
GCF_011125445.2	PRJNA615222	SAMN13668183	JAAEEJ000000000.2	representative genome	8078	8078	Fundulus heteroclitus		FHET01	latest	Chromosome	Major	Full	2020/08/13	MU-UCD_Fhet_4.1	University of Missouri	GCA_011125445.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/125/445/GCF_011125445.2_MU-UCD_Fhet_4.1			na
GCF_000633615.1	PRJNA232869	SAMN02404645	AZHG00000000.1	representative genome	8081	8081	Poecilia reticulata	strain=Guanapo		latest	Chromosome	Major	Full	2014/04/28	Guppy_female_1.0+MT	Max Planck Institute for Developmental Biology	GCA_000633615.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/633/615/GCF_000633615.1_Guppy_female_1.0_MT			na
GCF_002775205.1	PRJNA220265	SAMN08025980	PGSD00000000.1	representative genome	8083	8083	Xiphophorus maculatus	strain=JP 163 A		latest	Chromosome	Major	Full	2017/12/07	X_maculatus-5.0-male	The Genome Institute, Washington University at St. Louis	GCA_002775205.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/775/205/GCF_002775205.1_X_maculatus-5.0-male			na
GCF_003331165.1	PRJNA604828	SAMN09545741	QPIH00000000.2	representative genome	8084	8084	Xiphophorus hellerii	strain=12219		latest	Chromosome	Major	Full	2019/12/05	Xiphophorus_hellerii-4.1	McDonnell Genome Institute - Washington University School of Medicine	GCA_003331165.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/331/165/GCF_003331165.1_Xiphophorus_hellerii-4.1			na
GCF_002234675.1	PRJNA183868	SAMN06689957		representative genome	8090	8090	Oryzias latipes			latest	Chromosome	Major	Full	2017/07/27	ASM223467v1	The University of Tokyo	GCA_002234675.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/234/675/GCF_002234675.1_ASM223467v1			na
GCF_009769545.1	PRJNA625538	SAMN12629502	WNNC00000000.1	representative genome	8103	8103	Cyclopterus lumpus		fCycLum1	latest	Chromosome	Major	Full	2019/12/23	fCycLum1.pri	Vertebrate Genomes Project	GCA_009769545.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/545/GCF_009769545.1_fCycLum1.pri			na
GCF_001858045.2	PRJNA354796	SAMN05859795	MKQE00000000.2	representative genome	8128	8128	Oreochromis niloticus		F11D_XX	latest	Chromosome	Major	Full	2018/06/29	O_niloticus_UMD_NMBU	University of Maryland	GCA_001858045.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/858/045/GCF_001858045.2_O_niloticus_UMD_NMBU			na
GCF_018398535.1	PRJNA737037	SAMN17845830	JAGKPV000000000.1	representative genome	8153	8153	Haplochromis burtoni	strain=Fernald_Lab_line		latest	Scaffold	Major	Full	2021/05/19	NCSU_Asbu1	Reade Roberts Lab, North Carolina State University	GCA_018398535.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/398/535/GCF_018398535.1_NCSU_Asbu1			na
GCF_900246225.1	PRJNA488811	SAMEA104026430	OFHY00000000.3	representative genome	8154	8154	Astatotilapia calliptera			latest	Chromosome	Major	Full	2018/05/30	fAstCal1.2	SC	GCA_900246225.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/246/225/GCF_900246225.1_fAstCal1.2			na
GCF_004354835.1	PRJNA529871	SAMN10722690	SCKG00000000.1	representative genome	8167	8167	Perca flavescens		YP-PL-M2	latest	Chromosome	Major	Full	2019/03/19	PFLA_1.0	INRA (Fish Physiology and Genomics laboratory)	GCA_004354835.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/354/835/GCF_004354835.1_PFLA_1.0			na
GCF_010015445.1	PRJNA703996	SAMN12071746	VHII00000000.1	representative genome	8168	8168	Perca fluviatilis			latest	Chromosome	Major	Full	2020/01/30	GENO_Pfluv_1.0	SEX'PERCH	GCA_010015445.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/015/445/GCF_010015445.1_GENO_Pfluv_1.0			na
GCF_900880675.1	PRJNA558036	SAMEA104384835	CAAHFC000000000.1	representative genome	8175	8175	Sparus aurata			latest	Chromosome	Major	Full	2019/07/30	fSpaAur1.1	SC	GCA_900880675.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/880/675/GCF_900880675.1_fSpaAur1.1			na
GCF_904848185.1	PRJNA672841	SAMN16236878	CAJHBW000000000.1	representative genome	8177	8177	Acanthopagrus latus		v.2019	latest	Chromosome	Major	Full	2020/10/12	fAcaLat1.1	SC	GCA_904848185.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/904/848/185/GCF_904848185.1_fAcaLat1.1			na
GCF_001640805.1	PRJNA345597	SAMN04026617	LLXD00000000.1	representative genome	8187	8187	Lates calcarifer		ASB-BC8	latest	Scaffold	Major	Full	2016/05/09	ASM164080v1	Temasek Life Sciences Laboratory	GCA_001640805.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/640/805/GCF_001640805.1_ASM164080v1			na
GCF_000735185.1	PRJNA268318	SAMN02206445	AZAD00000000.1	representative genome	8208	8208	Notothenia coriiceps		Sejong01	latest	Scaffold	Major	Full	2014/07/29	NC01	Antarctic Fish Genome Project	GCA_000735185.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/735/185/GCF_000735185.1_NC01			na
GCF_902827175.1	PRJNA629559	SAMEA104242997	CADEHN000000000.1	representative genome	8218	8218	Gymnodraco acuticeps			latest	Scaffold	Major	Full	2020/04/15	fGymAcu1.1	SC	GCA_902827175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/827/175/GCF_902827175.1_fGymAcu1.1			na
